기간,자치구,합계,합계,합계,합계,승용차,승용차,승용차,승용차,승합차,승합차,승합차,승합차,화물차,화물차,화물차,화물차,특수차,특수차,특수차,특수차,이륜차,이륜차,이륜차
기간,자치구,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용
2016.06,용산구,76019,365,73594,2060,65361,139,64121,1101,3042,50,2936,56,7484,164,6456,864,132,12,81,39,16647,222,16425
2016.06,성동구,97688,272,88781,8635,82212,84,75777,6351,3962,34,3372,556,11333,145,9576,1612,181,9,56,116,20244,117,20127
2016.06,광진구,97074,278,91195,5601,80575,72,77480,3023,4518,43,3793,682,11718,156,9903,1659,263,7,19,237,18733,204,18529
2016.06,동대문구,97396,271,91241,5884,78639,81,75474,3084,4697,58,4390,249,13844,123,11334,2387,216,9,43,164,24295,237,24058
2016.06,중랑구,111629,191,101924,9514,89693,43,83618,6032,5742,32,5180,530,15853,100,13064,2689,341,16,62,263,24508,100,24408
2016.06,성북구,116960,230,111210,5520,99025,68,96291,2666,6216,32,5068,1116,11602,120,9823,1659,117,10,28,79,26460,165,26295
2016.06,강북구,76518,282,71339,4897,62293,83,59396,2814,4606,46,3783,777,9484,136,8121,1227,135,17,39,79,21919,76,21843
2016.06,도봉구,96837,230,88871,7736,81014,54,75516,5444,4572,40,4097,435,11066,130,9217,1719,185,6,41,138,14730,156,14574
2016.06,노원구,156211,257,146184,9770,134722,55,128172,6495,6903,48,5927,928,14298,145,12033,2120,288,9,52,227,15369,93,15276
2016.06,은평구,127468,226,120346,6896,107018,65,102915,4038,6312,36,5487,789,13919,117,11900,1902,219,8,44,167,21219,131,21088
2016.06,서대문구,84465,432,78789,5244,71457,172,68355,2930,3991,86,3511,394,8877,163,6887,1827,140,11,36,93,15021,167,14854
2016.06,마포구,117405,278,109573,7554,98818,64,94647,4107,5165,46,4391,728,13097,152,10444,2501,325,16,91,218,17667,177,17490
2016.06,양천구,150641,303,141193,9145,127028,110,121974,4944,6547,50,5386,1111,16564,135,13734,2695,502,8,99,395,17714,141,17573
2016.06,강서구,193200,283,178108,14809,162572,79,152265,10228,8735,39,7233,1463,21576,154,18508,2914,317,11,102,204,18579,161,18418
2016.06,구로구,140195,232,128668,11295,115106,57,107395,7654,7082,50,6163,869,17748,116,15007,2625,259,9,103,147,16469,58,16411
2016.06,금천구,83581,123,75984,7474,65270,24,60703,4543,4684,11,4201,472,13493,85,11036,2372,134,3,44,87,11871,200,11671
2016.06,영등포구,148508,299,138053,10156,120367,92,115505,4770,6419,40,5923,456,20616,153,16160,4303,1106,14,465,627,16896,233,16663
2016.06,동작구,103643,277,100555,2811,90063,75,88774,1214,3994,48,3828,118,9191,141,7870,1180,395,13,83,299,15267,213,15054
2016.06,관악구,121964,272,115869,5823,102798,63,99360,3375,5648,36,5322,290,13301,163,11152,1986,217,10,35,172,24842,285,24557
2016.06,서초구,179285,594,168411,10280,155287,259,150705,4323,6110,153,5127,830,17562,167,12439,4956,326,15,140,171,14565,277,14288
2016.06,강남구,243010,359,223428,19223,214477,111,198608,15758,7376,50,6450,876,20798,180,18211,2407,359,18,159,182,17410,348,17062
2016.06,송파구,220158,347,208158,11653,188055,92,182007,5956,8403,92,6652,1659,23391,156,19407,3828,309,7,92,210,18672,239,18433
2016.06,강동구,137107,220,128396,8491,114814,54,109391,5369,5871,33,5133,705,16149,128,13826,2195,273,5,46,222,16806,156,16650
2016.06,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2016.07,서울시,3079928,11354,2872491,196083,2588964,4082,2466244,118638,137957,3149,118060,16748,345901,3782,286131,55988,7106,341,2056,4709,454684,4696,449988
2016.07,종로구,49984,3698,44633,1653,40005,1838,37657,510,4113,1409,2366,338,5689,369,4583,737,177,82,27,68,13501,326,13175
2016.07,중구,51950,1041,47099,3810,40628,248,38628,1752,3787,592,2781,414,7366,186,5628,1552,169,15,62,92,14993,253,14740
2016.07,용산구,75883,358,73456,2069,65236,139,63994,1103,3034,51,2927,56,7482,156,6454,872,131,12,81,38,16650,222,16428
2016.07,성동구,97989,274,88903,8812,82503,85,75915,6503,3948,34,3337,577,11351,145,9592,1614,187,10,59,118,20318,117,20201
2016.07,광진구,97175,276,91266,5633,80720,72,77596,3052,4505,44,3779,682,11684,153,9870,1661,266,7,21,238,18719,203,18516
2016.07,동대문구,97411,270,91305,5836,78734,81,75538,3115,4701,57,4392,252,13807,123,11331,2353,169,9,44,116,24311,237,24074
2016.07,중랑구,111785,190,101940,9655,89805,42,83688,6075,5723,32,5155,536,15866,100,13036,2730,391,16,61,314,24472,100,24372
2016.07,성북구,116940,229,111204,5507,99061,68,96338,2655,6187,31,5043,1113,11569,120,9791,1658,123,10,32,81,26467,168,26299
2016.07,강북구,76662,285,71493,4884,62451,84,59555,2812,4602,47,3779,776,9475,136,8121,1218,134,18,38,78,21940,74,21866
2016.07,도봉구,96825,232,88869,7724,81048,53,75557,5438,4545,41,4068,436,11052,132,9204,1716,180,6,40,134,14775,157,14618
2016.07,노원구,156258,256,146246,9756,134822,55,128286,6481,6860,47,5890,923,14283,145,12017,2121,293,9,53,231,15390,88,15302
2016.07,은평구,127654,224,120526,6904,107186,64,103092,4030,6290,35,5466,789,13954,117,11922,1915,224,8,46,170,21215,131,21084
2016.07,서대문구,84541,430,78855,5256,71487,171,68367,2949,4003,85,3523,395,8907,163,6926,1818,144,11,39,94,15033,167,14866
2016.07,마포구,117430,277,109593,7560,98872,63,94699,4110,5125,45,4358,722,13108,153,10446,2509,325,16,90,219,17666,177,17489
2016.07,양천구,150704,303,141351,9050,127252,111,122247,4894,6455,50,5338,1067,16498,134,13670,2694,499,8,96,395,17750,144,17606
2016.07,강서구,193452,286,178321,14845,162797,80,152425,10292,8732,39,7227,1466,21603,156,18566,2881,320,11,103,206,18582,161,18421
2016.07,구로구,140529,235,128940,11354,115421,60,107653,7708,7100,50,6196,854,17746,116,14988,2642,262,9,103,150,16426,58,16368
2016.07,금천구,83840,124,76259,7457,65486,24,60949,4513,4706,11,4218,477,13515,86,11049,2380,133,3,43,87,11950,200,11750
2016.07,영등포구,148108,300,137561,10247,119956,94,115061,4801,6387,40,5890,457,20655,153,16145,4357,1110,13,465,632,16857,203,16654
2016.07,동작구,103721,276,100647,2798,90100,75,88817,1208,3992,47,3827,118,9231,141,7917,1173,398,13,86,299,15261,195,15066
