순위,회사명,15년 매출액,14년 매출액,증감율(%),기업형태,위치
370,흥아해운(주),"801,561","789,251",2,유가,
371,대성산업(주),"801,103","1,057,488",-24,유가,
372,(주)대웅제약,"800,517","727,223",10,유가,
373,(주)이베이코리아,"799,367","733,943",9,외감,
374,(주)빙그레,"795,438","819,872",-3,유가,
375,(주)하림,"794,594","754,061",5,코스,
376,콘티넨탈오토모티브시스템(주),"791,916","854,630",-7,외감,
377,비오토(주),"790,241","204,935",286,외감,
378,포스코강판(주),"788,694","801,982",-2,유가,
379,(주)이테크건설,"788,563","677,699",16,코스,
380,해태제과식품(주),"788,448","680,063",16,유가,
381,아이에스동서(주),"780,109","664,248",17,유가,
382,한국니토옵티칼(주),"778,086","969,230",-20,외감,
383,(주)파트론,"775,979","731,556",6,코스,
384,(주)LG실트론,"775,843","766,141",1,외감,
385,(주)스타벅스커피코리아,"773,900","617,095",25,외감,
386,대원강업(주),"773,297","776,873",0,유가,
387,(주)에스비에스,"772,594","795,687",-3,유가,
388,폴라리스쉬핑(주),"771,913","787,342",-2,외감,
389,포천파워(주),"767,518","746,163",3,외감,
390,풀무원식품(주),"767,056","710,076",8,외감,
391,희성전자(주),"751,465","988,887",-24,외감,
392,(주)대교,"750,318","744,779",1,유가,
393,애경유화(주),"746,340","944,153",-21,유가,
394,동부인천스틸(주),"738,982","723,920",2,외감,
395,대방건설(주),"736,890","477,695",54,외감,
396,(주)일진글로벌,"728,367","638,314",14,외감,
397,진흥기업(주),"727,826","638,102",14,유가,
398,영남에너지서비스(주),"727,252","936,634",-22,외감,
399,(주)이랜드파크,"725,259","588,995",23,외감,
400,경남에너지(주),"723,922","888,760",-19,외감,
401,아주모터스(주),"723,387","681,425",6,외감,
402,(주)히타치엘지데이터스토리지코리아,"722,986","1,033,692",-30,외감,
403,한화탈레스(주),"717,783","678,377",6,외감,
404,가온전선(주),"716,431","827,172",-13,유가,
405,한화엘앤씨(주),"714,015","577,473",24,외감,
406,(주)옥산유통,"712,267","688,830",3,외감,
407,한국암웨이(주),"710,386","874,498",-19,외감,
408,(주)대륜E&S,"710,294","522,677",36,외감,
409,더클래스효성(주),"707,798","751,707",-6,외감,
410,(주)오리온,"707,438",,,유가,
411,국도화학(주),"705,926","668,500",6,유가,
412,(주)한독모터스,"704,910","543,426",30,외감,
413,현대EP(주),"700,460","795,562",-12,유가,
414,(주)현대리바트,"695,732","631,153",10,유가,
415,두산디에스티(주),"693,211","615,614",13,외감,
416,(주)유라,"692,771","411,352",68,외감,
417,두산엔진(주),"692,277","887,765",-22,유가,
418,(주)LS네트웍스,"691,164","845,739",-18,유가,
419,서울특별시도시철도공사,"689,224","647,489",6,외감,
420,현대비앤지스틸(주),"688,953","711,647",-3,유가,
421,일진전기(주),"685,138","785,553",-13,유가,
422,한국철강(주),"684,537","747,148",-8,유가,
423,하나생명보험(주),"683,078","562,297",21,외감,
424,에코플라스틱(주),"681,595","613,904",11,코스,
425,부산도시공사,"679,606","793,604",-14,외감,
426,(주)화승알앤에이,"677,791","663,206",2,유가,
427,(주)네오플,"677,351","635,175",7,외감,
428,깨끗한나라(주),"677,214","656,459",3,유가,
429,(주)지에스이앤알,"676,579","921,960",-27,외감,
430,텍사스인스트루먼트코리아(주),"676,281","737,723",-8,외감,
431,태평양물산(주),"673,437","638,143",6,유가,
432,(주)알파돔시티,"669,954","778,567",-14,외감,
433,중부도시가스(주),"669,180","812,863",-18,외감,
434,(주)동부하이텍,"666,595","567,718",17,유가,
