기간,자치구,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),구간이동,구간이동,구간이동,구간이동,구간이동,구간이동,전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),전입(②),전입(②),전입(②),전출(③),전출(③),전출(③),전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,소계,남자,여자,소계,남자,여자,소계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2016.06,성동구,4061,2042,2019,3870,1929,1941,1081,528,553,2036,1017,1019,1623,789,834,944,497,447,1166,612,554,191,113,78
2016.06,광진구,4530,2197,2333,4919,2469,2450,1480,714,766,1697,832,865,1700,848,852,1353,651,702,1739,907,832,-389,-272,-117
2016.06,동대문구,3812,1966,1846,4634,2336,2298,1210,590,620,1491,780,711,1837,937,900,1111,596,515,1587,809,778,-822,-370,-452
2016.06,중랑구,5132,2580,2552,5469,2690,2779,2135,1034,1101,1844,944,900,1383,652,731,1153,602,551,1951,1004,947,-337,-110,-227
2016.06,성북구,4620,2224,2396,5378,2625,2753,1571,752,819,1930,927,1003,2299,1124,1175,1119,545,574,1508,749,759,-758,-401,-357
2016.06,강북구,3894,1941,1953,4166,2085,2081,1393,685,708,1714,852,862,1572,774,798,787,404,383,1201,626,575,-272,-144,-128
2016.06,도봉구,3684,1852,1832,3924,2003,1921,1317,662,655,1543,762,781,1291,644,647,824,428,396,1316,697,619,-240,-151,-89
2016.06,노원구,4950,2360,2590,5910,2892,3018,1722,825,897,1799,877,922,1881,879,1002,1429,658,771,2307,1188,1119,-960,-532,-428
2016.06,은평구,6553,3183,3370,7122,3474,3648,2942,1413,1529,2186,1068,1118,1788,879,909,1425,702,723,2392,1182,1210,-569,-291,-278
2016.06,서대문구,5032,2430,2602,5150,2543,2607,1816,877,939,2062,999,1063,1883,950,933,1154,554,600,1451,716,735,-118,-113,-5
2016.06,마포구,5027,2437,2590,5934,2889,3045,1615,765,850,1894,929,965,2528,1234,1294,1518,743,775,1791,890,901,-907,-452,-455
2016.06,양천구,5863,2916,2947,6147,3130,3017,2354,1191,1163,2207,1062,1145,1927,948,979,1302,663,639,1866,991,875,-284,-214,-70
